max1,max2,min1,min2,Std1,Std2,Kurtosis1,Kurtosis2,Skewness1,Skewness2,Activity1,Activity2,Mobility1,Mobility2,Complexity1,Complexity2,1st Difference Mean1,1st Difference Mean2,1st Difference Max1,1st Difference Max2,2nd Difference Mean1,2nd Difference Mean2,2nd Difference Max1,2nd Difference Max2,Wavelet Approximate Mean1,Wavelet Approximate Mean2,Wavelet Approximate Std Deviation1,Wavelet Approximate Std Deviation2,Wavelet Detailed Mean1,Wavelet Detailed Mean2,Wavelet Detailed Std Deviation1,Wavelet Detailed Std Deviation2,Wavelet Approximate Energy1,Wavelet Approximate Energy2,Wavelet Detailed Energy1,Wavelet Detailed Energy2,Wavelet Approximate Entropy1,Wavelet Approximate Entropy2,Wavelet Detailed Entropy1,Wavelet Detailed Entropy2,FFT Delta MaxPower1,FFT Delta MaxPower2,FFT Theta MaxPower1,FFT Theta MaxPower2,FFT Alpha MaxPower1,FFT Alpha MaxPower2,FFT Beta MaxPower1,FFT Beta MaxPower2,Result
0.848998557,0.397126843,-1,-0.337701749,0.414594154,0.186669688,-0.197452499,-0.632033279,-0.160790702,0.082597802,0.171888312,0.034845573,0.178515181,0.172401782,2.921192838,3.307790504,0.055498362,0.024998181,0.21778759,0.097311181,0.027471666,0.012323466,0.103080959,0.042885813,0.000287096,0.003784149,0.57772345,0.261274311,-0.000109996,0.001903153,0.018795887,0.009266288,23.69727718,4.847779549,0.025084119,0.006353512,-7.567148594,-10.06009308,-0.179780041,-0.053755165,0.160081656,0.017135688,0.048635807,0.00753249,0.001215529,0.000315877,8.35E-05,3.41E-05,9
0.802202771,0.391954847,-1,-0.40257807,0.414559576,0.176039165,-0.358718863,-0.131928969,-0.367594779,0.03750193,0.171859642,0.030989787,0.186476079,0.211260816,2.747316458,3.060952874,0.057453863,0.026113838,0.300748349,0.163994145,0.027272038,0.015019485,0.129407045,0.098216273,0.000629621,0.006122824,0.576574302,0.247063209,-0.001510882,-0.00062047,0.016918024,0.01100511,25.93018912,4.76406202,0.02250318,0.0094768,-9.207084682,-9.755643462,-0.16095644,-0.075739597,0.192091156,0.012478689,0.065719818,0.009658542,0.000958954,0.000238557,0.000313884,0.000128132,9
0.924326023,0.439494119,-1,-0.443540679,0.471993746,0.186088917,-0.823411571,-0.273174527,-0.129043927,-0.001210736,0.222778096,0.034629085,0.181534294,0.195272082,2.868684802,3.178901942,0.068703259,0.028605223,0.2280666,0.102949338,0.033084425,0.014455307,0.108735542,0.065526878,0.000232179,0.006524073,0.65668404,0.26147343,0.00047162,0.000437548,0.02121529,0.011216721,34.06748461,5.404462549,0.035574565,0.009954496,-7.410304832,-10.88021434,-0.247676955,-0.079625879,0.231226843,0.017361057,0.065730972,0.007511206,0.000700777,0.000493284,0.000182418,3.12E-05,9
0.74901723,0.460906289,-1,-0.44064057,0.402854052,0.185543641,0.039113314,0.122440225,-0.355600242,-0.158046964,0.162291387,0.034426443,0.196021194,0.212124865,2.562063015,2.99776773,0.059227002,0.029252655,0.243650283,0.152434473,0.027236105,0.016400514,0.05530086,0.050199304,-0.000977024,0.003807668,0.562014831,0.259644641,-0.001064938,-0.000117909,0.01603076,0.01214593,29.69099278,6.338404772,0.02426322,0.013868527,-7.247336734,-11.87042103,-0.182123034,-0.109004407,0.159235953,0.012839416,0.1162457,0.010068447,0.002920287,0.000987387,0.00027667,0.000151605,9
0.748393871,0.33649425,-1,-0.328972558,0.458966716,0.173603976,-0.533501474,-1.068270904,-0.327050389,-0.135395865,0.210650446,0.03013834,0.181401823,0.193474801,2.761753924,3.214091747,0.06126172,0.025766618,0.241867431,0.111550626,0.029936478,0.014102171,0.099551435,0.057414738,-5.29E-05,0.004702247,0.640623436,0.243956897,0.000989406,-0.000111602,0.017561076,0.00987431,32.42147279,4.703429214,0.024440256,0.007703643,-5.585389932,-11.14294136,-0.177304654,-0.064980246,0.254179741,0.017349497,0.109011855,0.010314657,0.001014435,0.000408313,0.000244947,8.67E-05,9
0.858062406,0.457494583,-1,-0.392201291,0.437600017,0.210265784,-0.543030714,-0.759141446,-0.052999848,0.221172417,0.191493775,0.0442117,0.198271848,0.205638094,2.608738779,3.006927396,0.065288094,0.032984025,0.257891605,0.164608724,0.031262309,0.019255906,0.137611237,0.074709161,0.002320892,0.005880269,0.61068282,0.295777938,0.000165783,-0.000651347,0.021045508,0.012549566,29.08923366,6.826494951,0.034549389,0.012317437,-8.326253987,-12.85163174,-0.238340624,-0.099273523,0.182148604,0.025081115,0.10293585,0.008874522,0.001809612,0.000675075,0.000605887,0.000235403,9
0.843016488,0.469282093,-1,-0.377777399,0.414840265,0.176104005,-0.507638839,0.09025242,-0.312622269,0.348816196,0.172092445,0.03101262,0.164917212,0.197302821,2.987894294,3.313821561,0.054159418,0.024903472,0.212626646,0.151419766,0.025140267,0.015191155,0.069278116,0.076508599,-0.001965006,0.004550666,0.57903141,0.247066296,0.000202294,-6.69E-05,0.016191629,0.011420955,25.48137383,4.640747197,0.019927942,0.009913645,-11.15002637,-9.435652306,-0.149985384,-0.080447009,0.149132953,0.01321713,0.028407722,0.008080364,0.000771746,0.00018336,4.65E-05,0.000105243,9
0.838807825,0.443153599,-1,-0.34401164,0.473999616,0.198146528,-0.796989233,-0.702556706,-0.257927928,0.107260345,0.224675636,0.039262047,0.158704706,0.189295285,3.265046064,3.384501103,0.057079114,0.027413589,0.259209599,0.133964316,0.027811295,0.016280373,0.125245283,0.060034178,0.001178317,0.00487004,0.661558344,0.278053276,0.000122885,-0.001306967,0.017086601,0.01101474,34.1375448,6.032312634,0.022773428,0.009596547,-7.94701642,-12.11825676,-0.162870294,-0.077168415,0.195981645,0.020012955,0.046277038,0.009534775,0.000457773,0.000280428,0.000197322,0.000109597,9
0.876083976,0.340123223,-1,-0.397238366,0.449013009,0.191881835,-0.545060156,-0.988826064,-0.296883439,-0.234045636,0.201612682,0.036818639,0.158384015,0.179361373,3.099868973,3.415985636,0.057638677,0.026551907,0.191132457,0.130546419,0.025193275,0.014427942,0.035761386,0.049822902,0.002218935,0.006145001,0.62723488,0.270675406,-0.00013852,0.000887262,0.013518006,0.009317022,32.26113852,6.010840768,0.014985966,0.007182719,-8.603467274,-12.90057295,-0.113826096,-0.059035265,0.221807033,0.029263207,0.026741167,0.014474392,0.001025004,0.000537372,9.70E-05,0.000150327,9
1,0.405636098,-0.989000724,-0.427644779,0.51093105,0.22675498,-0.791205197,-0.808302955,-0.069574839,-0.349795525,0.261050537,0.051417821,0.178609182,0.20458769,3.100669991,2.935472768,0.076324527,0.034356829,0.216244806,0.192729712,0.035786299,0.018224198,0.153130293,0.055777803,0.001133747,0.011172676,0.711789263,0.322217589,-0.000244106,-0.000706798,0.025808531,0.014223865,33.94523111,6.96458321,0.044631369,0.0135888,-2.502523114,-11.94473187,-0.278729098,-0.106190539,0.138257757,0.014915965,0.181473328,0.01331134,0.00126348,0.000942903,0.000195003,0.000283701,9
